,BEST4+ enterocyte,enterocyte of epithelium proper of ileum,enterocyte of epithelium proper of duodenum,"CD4-positive, alpha-beta T cell",intestinal crypt stem cell of small intestine,paneth cell of epithelium of small intestine,"activated CD8-positive, alpha-beta T cell",natural killer cell,neutrophil,enterocyte of epithelium proper of small intestine,small intestine goblet cell,"activated CD4-positive, alpha-beta T cell",plasma cell,macrophage,"CD8-positive, alpha-beta T cell",enterocyte of epithelium proper of jejunum,B cell,enteroendocrine cell of small intestine,intestinal tuft cell,fibroblast,gamma-delta T cell,enteroglial cell,innate lymphoid cell,myeloid dendritic cell,endothelial cell of venule,"naive thymus-derived CD4-positive, alpha-beta T cell",mast cell,endothelial cell of lymphatic vessel,endothelial cell of arteriole,pericyte,transit amplifying cell of small intestine,monocyte,myofibroblast cell,regulatory T cell
Helicobacter pylori,-0.20406952026011102,0.2756113734877105,0.145808031457178,0.04995411570909143,0.4155768962597881,0.41370424636710224,-0.13394723879652845,0.09535182484262276,0.2343635047752196,0.06809797559322464,0.3255063996863395,0.23435760537308262,0.6997683721068038,-0.3090837407789363,0.11326920307578076,-0.12255075345365732,0.3312322366317132,-0.33515156701366333,0.25389381306746595,-0.03901452940450234,-0.07024855983630424,-0.2839494610622062,0.010477216139698181,0.4753501590872776,0.14244339494115615,0.33830412536234233,0.6493925465898825,0.22912667544677273,-0.017639871618702202,0.2901756645548369,-0.013288843894287583,-0.0013268049891508316,-0.3059678398856954,0.4278772473253176
Salmonella enterica,0.03419922730516821,0.2046294737447586,-0.16078857858199183,0.2807842889146417,-0.07858237144052513,0.10748738348945272,0.41334780937173776,0.3872277936697588,0.14339097824491787,-0.38043930981201546,1.0478431710181924,0.6737576910819408,0.36680244746648955,-0.07596113447729122,0.1159223514894106,-0.013026128932955072,0.5291567817289164,0.22875086725555013,-0.08524915750794984,0.00877347026256542,0.48635644277097134,0.6300293540461435,0.6084994690458736,0.37710961951619326,0.07421253935920896,-0.822454147598736,0.23914800714246648,0.1494513723467699,0.19199462889640612,0.16616920410996192,-0.2478786485847471,0.3172225670553557,0.3396648942095551,0.3547016346178977
Mycobacterium,0.4339731010720159,0.33121549347648693,0.02699117653832675,0.12874894562517292,0.17733746017601307,0.18230983473198553,0.4494652967915189,0.3431006259067472,0.7732030318709859,0.8119406939654017,0.17389487478417748,-1.0009966645378108,0.5210497398381799,-0.012112901696116313,-0.09044517654930204,0.030466417503189958,0.01600708595561806,0.33368094303161777,-0.31783073373786763,-0.17331622373748048,0.252947566259225,0.33688320912399244,0.3424624934808036,-0.08611088367998967,-0.14347969477987202,-0.0019904501363757765,0.2219618256854175,0.5956432107817649,-0.4642311557312251,0.08378137291249003,-0.2498035323075611,-0.3456728032060469,0.44008699360344494,0.3133873723498016
Clostridium butyricum,0.28483005478417867,0.42630775191929804,0.006084330970159174,0.020208745099941527,0.8057191850167723,0.07602868372212769,0.37053963391622735,0.1519144622889945,-0.40447755902352445,-0.46338870114038044,-0.023695265981971442,0.4668303755009967,0.3864874969908011,0.42422314926721005,-0.1461138536808946,0.6347617470366941,-0.1394679900559153,0.21384731960099063,0.146894313027679,0.09783785390562409,0.551577641488682,-0.06153315604978815,-0.25488157671357836,0.15599864586192577,0.030051979714042054,1.1632148757247935,0.35295224293199245,0.027197827434412708,-0.16683347075612595,-0.4140865231706353,-0.15756572572122993,0.18448253152773952,0.5781985954784308,0.4865067427163756
Aerococcaceae,0.2187284494939138,0.0530497002892546,0.23064370692364627,-0.0055913992453727746,0.6655091987291627,0.09324294561747601,0.12409864252598193,-0.5147467275062004,0.09136954604317084,0.4009452413894823,-0.17031677311156354,-0.07521610034784385,0.3878133053200994,-0.292997167055416,0.4673403022625755,-0.009643167051930607,0.03342953385263912,-0.1871635215376782,0.2634138781283649,0.887961595508814,0.3844491718381896,-0.10928557858216073,0.49068617564744277,0.054996136219725156,0.5623454944282678,0.39200292064930886,-0.7329424696415199,-0.15122388988650823,0.4333155668506169,0.19549718164350527,-0.1571267843123552,-0.04007685464814381,-0.42187098602681417,0.12348801374208118
Lactobacillaceae,0.8132069178047293,0.39148001721969766,0.807125100356527,0.4147191269369941,0.45824380300580747,0.7422236063235071,0.2631789778026679,0.09383180354793592,0.4597972549866036,0.5861520711365654,0.006010607186337308,-0.06647072470200877,0.19165680972926405,0.3994496600794986,0.38942731459846847,-0.2772502800562797,0.7234818201189965,-0.042349478819055125,0.07048050093342619,-0.12079630799634591,0.9594986507811263,0.22262120108639022,-0.10529252420446947,0.40917706498873374,0.3807407337930099,0.09368189292603482,0.40218201383501495,-0.09758758824925931,0.002124517515224328,-0.4530649963698188,-0.2471853252658688,0.6922892417012058,0.6424285883166944,0.16973659459468876
Malthininae,0.6488794341569513,0.10197765401750855,0.07697690922962762,0.1669531945396669,0.11252352140293037,0.08544110293194587,0.49301943214486577,0.19504069618686093,0.36374452933014134,0.45941415758319926,0.26645573869642003,-0.14108139777247167,-0.2558597666892116,0.19463419044219155,0.09862310855251966,0.1762174286760365,0.14518378822542413,0.9250720980499701,-0.2490678766924014,-0.44698388094633734,0.2497130500558829,0.03707323362354141,0.24482036091898535,0.3251649066852003,0.5352314085536692,-0.3021677461151815,-0.017015369357148896,0.2786283776642291,0.3811390787061679,0.8080348650865157,0.43671119133416014,0.13296342123411686,-0.11713072588279846,-0.019286955815705775
Muribaculaceae,-0.02781084688713195,0.3465700885541282,0.22709923367574913,-0.2470948712526537,0.019229559272870095,0.4132642660354262,0.2554987064922177,0.32059338480383115,0.2648765130171789,0.6379292203826578,0.220812919147311,0.034193160638790604,-0.12472651234006818,0.22488283746291354,-0.5822112044325252,0.09471329945018642,0.08824804202359682,-0.2593412560851843,-0.12847975159679878,0.39289725904447237,0.21921352472248878,0.18053650011219824,0.24190426017960678,0.17778827638467706,0.5228587688574944,0.18702875451109463,-0.2874639341456251,0.6390389894623231,0.2611020801986537,-0.026776119238520302,-0.22602051548850557,0.26877426628741363,0.11484839850768735,0.6222440358097227
Lachnospiraceae,0.04622781579995164,-0.10121423690474005,0.41873886547077854,0.4275845678150494,0.20059541028305863,0.35290711430247246,0.13869386377732862,0.22015953030277408,0.4994972647691769,0.3375955002064509,0.09921766850021257,0.5557087637778452,-0.5594566118374537,0.7656219934265804,-0.3617877284672205,-0.03812784743168879,0.13772473944147928,0.10605579878155158,0.4519233120079664,-0.1673509855830703,0.22823004524491897,-0.023463629465926172,0.238542293801225,0.13056832206063704,0.17788069580489335,-0.014977449739303705,-0.003019185028824728,0.23618175420822807,0.4331146517268133,-0.02948380025935432,-0.1106302633718729,0.3340380497015511,0.14024883208269318,0.3991494401957856
Staphylococcaceae,-0.1217391640113443,-0.3838316776270292,-0.009901224547900295,-0.0799057827795048,0.12636347997591002,-0.04105356428111687,0.37230508540093477,0.06355492127324512,0.19514234963217028,0.19729036753228318,0.2084865277236562,0.14276126686350799,0.303180207123094,-0.08869654014774225,0.569825377996165,0.07903878498943943,-0.24346474136960447,0.2064220070975319,-0.10535414473424551,0.3496003603526625,0.8128816728127133,-0.08597162746735504,0.24971169996719544,-0.3766516766113882,0.28617156883240413,-0.11571413993990695,-0.037450385530344715,-0.1803859469519484,0.36964536781642066,0.45219130724197876,0.1570155643975523,-0.1093280116007159,0.6268569108311587,-0.07512303832639686
